DeviceDescription,DeviceSerialNumber,DeviceProduct,DeviceManufacturer
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.31E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
USB Mass Storage Device,5.01E+20,UDisk           ,General 
USB Mass Storage Device,2.41E+21,UDisk           ,General 
